city,longitude,latitude
Adamów (siedleckie),22.15,51.45
Adamów (zamojskie),23.10,50.36
Adamówka,22.42,50.16
Aleksandrów,19.59,51.16
Aleksandrów Kujawski,18.42,52.53
Aleksandrów Łódzki,19.19,51.49
Alwernia,19.32,50.04
Andrespol,19.37,51.44
Andrychów,19.20,49.52
Andrzejewo,22.12,52.50
Annopol,21.52,50.53
Augustów,22.58,53.51
Babiak,18.41,52.20
Babice,19.26,50.04
Babimost,15.50,52.09
Baborów,17.59,50.09
Baboszewo,20.15,52.42
Baćkowice,21.14,50.48
Bakałarzewo,22.39,54.06
Baligród,22.17,49.21
Bałtów,21.32,51.01
Banie,14.38,53.06
Banie Mazurskie,22.03,54.15
Baranowicze,26.02,53.08
Baranowo,21.18,53.11
Baranów (kaliskie),18.00,51.16
Baranów (lubelskie),22.09,51.34
Baranów (skierniewickie),20.28,52.07
Baranów Sandomierski,21.33,50.30
Barciany,21.21,54.13
Barcin,17.57,52.52
Barczewo,20.41,53.50
Bardo,16.45,50.31
Bargłów Kościelny,22.50,53.46
Barlinek,15.13,52.59
Bartoszyce,20.48,54.15
Baruchowo,19.15,52.30
Barwice,16.21,53.44
Batorz,22.30,50.50
Bądkowo,18.47,52.42
Bedlno,19.34,52.13
Bejsce,20.36,50.15
Belsk Duży,20.49,51.50
Bełchatów,19.22,51.22
Bełżyce,22.17,51.10
Bestwina,19.03,49.54
Będków,19.45,51.35
Będzin,19.08,50.19
Będzino,15.59,54.12
Biała (opolskie),17.40,50.23
Biała (sieradzkie),18.27,51.16
Biała Piska,22.04,53.37
Biała Podlaska,23.07,52.02
Biała Rawska,20.29,51.48
Białaczów,20.18,51.18
Białe Błota,17.55,53.06
Białobrzegi (rzeszow.),22.21,50.07
Białobrzegi (radomskie),20.57,51.39
Białogard,15.59,54.00
Białopole,23.44,50.59
Białośliwie,17.07,53.06
Białowieża,23.52,52.42
Biały Bór,16.50,53.44
Biały Dunajec,20.02,49.22
Białystok,23.10,53.08
Biecz,21.16,49.44
Bielany,22.15,52.20
Bielawa,16.37,50.42
Bielawy,19.39,52.04
Bielice,14.43,53.12
Bieliny,20.55,50.51
Bielsk,19.48,52.41
Bielsk Podlaski,23.12,52.46
Bielsko-Biała,19.04,49.50
Bierawa,18.16,50.17
Bierutów,17.33,51.07
Bierzwnik,15.40,53.02
Biesiekierz,16.03,54.08
Bieżuń,19.52,52.57
Biłgoraj,22.43,50.32
Bircza,22.28,49.42
Biskupice,20.07,49.58
Biskupiec (toruńskie),19.21,53.30
Biskupiec (olsztyńskie),20.57,53.52
Biszcza,22.38,50.25
Bisztynek,20.54,54.05
Blachownia,18.58,50.47
Bledzew,15.24,52.31
Blizanów,18.01,51.54
Bliżyn,20.45,51.06
Błaszki,18.26,51.39
Błażowa,22.06,49.54
Błędów,20.42,51.47
Błonie,20.36,52.12
Bobolice,16.35,53.57
Bobowa,20.57,49.43
Bobrowice,15.05,51.57
Bobrowniki (katowickie),18.59,50.23
Bobrowniki (włocławskie),18.58,52.46
Bobrowo,19.16,53.17
Bochnia,20.25,49.58
Boćki,23.02,52.39
Bodzanów,20.02,52.31
Bodzechów,21.23,50.51
Bodzentyn,20.57,50.57
Bogatynia,14.57,50.54
Bogdaniec,15.03,52.41
Bogoria,21.15,50.39
Boguchwała,21.57,49.59
Boguszów-Gorce,16.12,50.46
Boguty-Pianki,22.25,52.43
Bojadła,15.49,51.57
Bojanowo,16.45,51.42
Bojanów,21.57,50.26
Bolesław,20.53,50.16
Bolesławiec (kaliskie),18.12,51.12
Bolesławiec (jeleniog.),15.34,51.16
Boleszkowice,14.33,52.43
Bolimów,20.10,52.05
Bolków,16.06,50.55
Boniewo,18.54,52.28
Borek Wielkopolski,17.15,51.55
Borki,22.32,51.44
Borkowice,20.42,51.19
Borowa,21.21,50.23
Borowiczki,19.45,52.31
Borowie,21.46,51.57
Borów,17.00,50.53
Borysław,23.27,49.16
Borzechów,22.17,51.06
Borzęcin,20.42,50.06
Borzytuchom,17.23,54.13
Branice,17.47,50.03
Braniewo,19.50,54.23
Brańsk,22.50,52.45
Brańszczyk,21.36,52.37
Brasław,27.02,55.38
Brąszewice,18.27,51.30
Brodnica (poznańskie),16.53,52.09
Brodnica (toruńskie),19.24,53.15
Brody (kieleckie),21.14,51.02
Brody (zielonogórskie),14.45,51.45
Brody,25.10,50.06
Brojce,15.21,53.57
Brok,21.51,52.42
Brójce,19.38,51.40
Brudzeń Duży,19.29,52.40
Brudzew,18.36,52.06
Brusy,17.44,53.53
Brwinów,20.43,52.08
Brzeg,17.29,50.52
Brzeg Dolny,16.43,51.16
Brzesko,20.37,49.58
Brzeszcze,19.09,49.59
Brześć Kujawski,18.53,52.37
Brześć nad Bugiem,23.42,52.06
Brzeziny (kaliskie),18.16,51.36
Brzeziny (skierniewic.),19.45,51.48
Brzeźnica (bielskie),19.37,49.58
Brzeźnica (zielonogór.),15.24,51.43
Brzeźnio,18.38,51.30
Brzeźno,15.47,53.42
Brzeżany,24.56,49.27
Brzostek,21.25,49.53
Brzozie,19.36,53.19
Brzozów,22.02,49.42
Brzuze,19.15,53.03
Brzyska,21.23,49.49
Buczacz,25.23,49.04
Buczek,19.10,51.30
Budry,21.53,54.15
Budzów,19.41,49.47
Budzyń,16.59,52.54
Buk,16.31,52.22
Bukowiec,18.14,53.26
Bukowina Tatrzańska,20.06,49.20
Bukowno,19.26,50.16
Bukowsko,22.03,49.29
Bulkowo,20.07,52.33
Burzenin,18.50,51.27
Busko Zdrój,20.48,50.28
Bychawa,22.33,51.01
Byczyna,18.13,51.07
Bydgoszcz,18.00,53.07
Bystrzyca Kłodzka,16.38,50.18
Bytnica,15.09,52.09
Bytom,18.54,50.23
Bytom Odrzański,15.50,51.44
Bytoń,18.35,52.34
Bytów,17.30,54.10
Cedry Wielkie,18.51,54.15
Cedynia,14.12,52.53
Cegłów,21.44,52.09
Cekcyn,18.01,53.35
Ceków-Kolonia,18.18,51.53
Celestynów,21.23,52.03
Ceranów,22.14,52.38
Cewice,17.44,54.27
Charsznica,19.56,50.25
Chąśno,19.56,52.11
Chełm,23.29,51.08
Chełmek,19.14,50.06
Chełmiec,20.40,49.38
Chełmno,18.26,53.21
Chełmża,18.36,53.12
Chęciny,20.27,50.48
Chlewiska,20.46,51.15
Chłopice,22.41,49.57
Chmielnik,20.45,50.37
Chmielnik Rzeszowski,22.07,49.59
Chmielno,18.06,54.20
Choceń,19.01,52.30
Chocianów,15.54,51.25
Chociwel,15.19,53.27
Chocz,17.53,51.58
Choczewo,17.53,54.45
Chodecz,19.02,52.24
Chodel,22.08,51.07
Chodów,19.02,52.15
Chodzież,16.55,52.59
Chojna,14.25,52.58
Chojnice,17.33,53.42
Chojnów,15.56,51.17
Choreszcz,22.59,53.09
Chorkówka,21.41,49.39
Choroszcz,22.59,53.09
Chorzele,20.53,53.16
Chorzów,18.57,50.18
Choszczno,15.24,53.10
Chotcza,21.45,52.14
Chrostkowo,19.15,53.57
Chrzanów (katowickie),19.24,50.08
Chrzanów (tarnobrzeskie),22.36,50.46
Chrząstowice,18.04,50.40
Chrzypsko Wielkie,16.14,52.38
Chybie,18.49,49.54
Chynów,21.05,51.54
Ciasna,18.37,50.46
Ciechanowiec,22.30,52.41
Ciechanów,20.38,52.52
Ciechocin,18.56,53.04
Ciechocinek,18.47,52.53
Cielądz,20.21,51.43
Ciepielów,21.35,51.15
Ciepłowody,16.55,50.41
Cieplice Śląskie-Zdrój,15.41,50.52
Cieszanów,23.08,50.14
Cieszków,17.22,51.38
Cieszyn,18.38,49.45
Ciężkowice,20.58,49.48
Cisek,18.13,50.17
Cisna,22.20,49.13
Cmolas,21.45,50.18
Cybinka,14.48,52.12
Cyców,23.08,51.18
Czajków,18.21,51.29
Czaplinek,16.14,53.33
Czarna (krośnieńskie),22.41,49.19
Czarna (tarnowskie),21.15,50.04
Czarna (rzeszowskie),22.12,50.07
Czarna Białostocka,23.18,53.18
Czarna Dąbrówka,17.34,54.22
Czarne,16.56,53.42
Czarnia,21.11,53.21
Czarnków,16.34,52.54
Czarnocin (kieleckie),20.31,50.21
Czarnocin (piotrkowskie),19.41,51.35
Czrnożyły,18.34,51.17
Czarny Bór,16.07,50.46
Czarny Dunajec,19.52,49.27
Czastary,18.20,51.16
Czchów,20.41,49.50
Czechowice-Dziedzice,19.01,49.50
Czemierniki,22.38,51.41
Czempiń,16.45,52.08
Czeremcha,23.21,52.31
Czermin (rzeszowskie),21.20,50.20
Czermin (kaliskie),17.45,51.57
Czernica,17.15,51.03
Czernice Borowe,20.43,53.02
Czernichów,19.41,49.59
Czerniejewo,17.29,52.26
Czerniewice,20.10,51.39
Czernikowo,18.56,52.57
Czersk,17.58,53.48
Czerwieńsk,15.26,52.01
Czerwin,21.46,52.57
Czerwińsk nad Wisłą,20.18,52.23
Czerwonak,16.59,52.28
Czerwonka,21.12,52.53
Częstochowa,19.07,50.48
Człopa,16.06,53.05
Człuchów,17.21,53.41
Czorsztyn,20.19,49.26
Czosnów,20.43,52.24
Czudec,21.51,49.57
Czyże,23.26,52.47
Czyżew-Osada,22.18,52.48
Ćmielów,21.31,50.54
Daleszyce,20.48,50.48
Dalików,19.06,51.53
Damasławek,17.30,52.50
Damnica,17.17,54.30
Darłowo,16.24,54.25
Daszyna,19.11,52.09
Dawidgródek,27.14,52.03
Dąbie (konińskie),18.49,52.05
Dąbie (zielonogórskie),15.10,52.01
Dąbrowa (opolskie),17.45,50.41
Dąbrowa (bydgoskie),17.57,52.44
Dąbrowa Białostocka,23.21,53.39
Dąbrowa Biskupia,18.32,52.47
Dąbrowa Chełmińska,18.18,53.11
Dąbrowa Górnicza,19.16,50.19
Dąbrowa Tarnowska,20.59,50.11
Dąbrowa Zielona,19.33,50.51
Dąbrowice,19.05,52.19
Dąbrówka,21.17,52.29
Dąbrówno,20.03,53.26
Debrzno,17.14,53.33
Deszczno,15.18,52.40
Dębe Wielkie,21.26,52.12
Dębica,21.25,50.03
Dęblin,21.52,51.34
Dębnica Kaszubska,17.10,54.23
Dębno (tarnowskie),20.43,49.58
Dębno (gorzowskie),14.42,52.44
Dębowa Kłoda,23.01,51.36
Dębowa Łąka,19.06,53.15
Dębowiec (krośnieńskie),21.28,49.41
Dębowiec (bielskie),18.43,49.48
Długołęka,17.12,51.10
Długosiodło,21.36,52.46
Dłutów,19.24,51.33
Dmosin,19.45,51.55
Dobczyce,20.06,49.53
Dobiegniew,15.45,52.58
Dobra (konińskie),18.37,51.55
Dobra (nowosądeckie),20.15,49.43
Dobra (szczecińskie),14.23,53.29
Dobra (szczecińskie),15.18,53.34
Dobrcz,18.09,53.16
Dobre (siedleckie),21.41,52.19
Dobre (włocławskie),18.33,52.41
Dobre Miasto,20.24,53.59
Dobrodzień,18.27,50.44
Dobromierz,16.15,50.55
Dobromil,22.47,49.34
Dobroszyce,17.21,51.16
Dobryszyce,19.25,51.09
Dobrzany,15.25,53.21
Dobrzelin,19.37,52.14
Dobrzeń Wielki,17.51,50.46
Dobrzyca,17.37,51.52
Dobrzyniewo Kościelne,23.03,53.12
Dobrzyń nad Wisłą,19.20,52.39
Dolice,15.12,53.11
Dolsk,17.04,51.59
Dołhobyczów,24.02,50.35
Domaniewice,19.48,52.01
Domaniów,17.08,50.59
Domaradz,21.59,49.48
Domaszowice,17.53,51.03
Dominowo,17.22,52.18
Dopiewo,16.40,52.21
Dorohusk,23.49,51.09
Doruchów,18.05,51.25
Dragacz,18.44,53.30
Drawno,15.45,53.13
Drawsko,16.02,52.51
Drawsko Pomorskie,15.48,53.32
Drelów,22.53,51.55
Drezdenko,15.49,52.51
Drobin,19.59,52.44
Drohiczyn,22.39,52.24
Drohobycz,23.30,49.21
Drużbice,19.24,51.27
Drwinia,20.26,50.06
Drzewica,20.28,51.27
Drzycim,18.19,53.31
Dubeninki,22.34,54.18
Dubicze Cerkiewne,23.26,52.39
Dubiecko,22.24,49.50
Dubienka,23.53,51.03
Dukla,21.41,49.33
Duszniki,16.24,52.27
Duszniki-Zdrój,16.23,50.24
Dwikozy,21.47,50.44
Dydnia,22.12,49.41
Dygowo,15.43,54.08
Dynów,22.14,49.49
Dywity,20.29,53.50
Dziadkowice,22.54,52.34
Dziadowa Kłoda,17.42,51.14
Działdowo,20.11,53.14
Działoszyce,20.21,50.22
Działoszyn,18.52,51.07
Dziemiany,17.47,54.01
Dzierzążnia,20.14,52.38
Dzierzgoń,19.21,53.56
Dzierzgowo,20.39,53.09
Dzierzkowice,22.05,50.58
Dzierżoniów,16.38,50.43
Dziwnów,14.45,54.02
Dzwola,22.35,50.42
Dźwierzuty,20.58,53.42
Elbląg,19.24,54.10
Ełk,22.21,53.29
Fabianki,19.06,52.43
Fajsławice,22.57,51.06
Fałków,20.06,51.08
Filipów,22.37,54.11
Firlej,22.31,51.34
Frampol,22.41,50.41
Fredropol,22.45,49.42
Frombork,19.41,54.21
Frysztak,21.37,49.50
Gać,22.22,50.02
Galewice,18.16,51.20
Garbatka-Letnisko,21.37,51.30
Garbów,22.21,51.21
Gardeja,18.57,53.37
Garwolin,21.38,51.54
Gaszowice,18.26,50.07
Gaworzyce,15.53,51.38
Gąbin,19.43,52.24
Gąsawa,17.45,52.46
Gdańsk,18.38,54.22
Gdów,20.12,49.54
Gdynia,18.32,54.32
Giby,23.22,54.02
Gidle,19.28,50.58
Gielniów,20.28,51.24
Gierałtowice,18.43,50.13
Gietrzwałd,20.15,53.45
Gilowice-Ślemień,19.18,49.42
Gizałki,17.47,52.03
Giżycko,21.47,54.02
Glinojeck,20.17,52.49
Gliwice,18.40,50.17
Głębokie,27.41,55.08
Głogów,16.05,51.39
Głogów Malopolski,21.58,50.09
Głogówek,17.51,50.21
Głowaczów,21.20,51.38
Głowno,19.43,51.58
Główczyce,17.22,54.37
Głubczyce,17.50,50.12
Głuchołazy,17.23,50.19
Głuchów,20.04,51.47
Głusk,22.36,51.12
Głuszyca,16.22,50.41
Gniew,18.49,53.51
Gniewino,18.01,54.43
Gniewkowo,18.25,52.54
Gniewoszów,21.49,51.28
Gniezno,17.36,52.32
Gnojnik,20.36,49.54
Gnojno,20.51,50.37
Godkowo,19.54,54.05
Godów,18.29,49.56
Godzianów,20.02,51.53
Godziesze Wielkie,18.11,51.39
Godziszów,22.29,50.46
Gogolin,18.02,50.30
Golczewo,14.58,53.59
Goleniów,14.49,53.33
Goleszów,18.44,49.44
Golina,18.06,52.15
Golub-Dobrzyń,19.03,53.07
Gołańcz,17.18,52.57
Gołcza,19.55,50.21
Gołdap,22.18,54.18
Gołuchów,17.56,51.51
Gołymin-Ośrodek,20.53,52.48
Gomunice,19.29,51.10
Goniądz,22.44,53.29
Goraj,22.41,50.43
Gorlice,21.10,49.40
Gorzkowice,19.36,51.13
Gorzków,23.00,50.56
Gorzów Śląski,18.26,51.02
Gorzów Wielkopolski,15.14,52.44
Gorzyce (katowickie),18.24,49.58
Gorzyce (tarnobrzeskie),21.50,50.40
Gostycyn,17.48,53.29
Gostynin,19.28,52.25
Gostyń,17.01,51.53
Goszczanów,18.31,51.47
Goszczyn,20.52,51.44
Gościeradów,22.00,50.52
Gościno,15.38,54.03
Gowarczów,20.27,51.17
Goworowo,21.34,52.54
Gozdnica,15.06,51.26
Gozdowo,19.41,52.44
Góra,16.33,51.40
Góra Kalwaria,21.13,51.59
Góra Świętej Małgorzaty,19.19,52.03
Górno,20.49,50.51
Górowo Iławieckie,20.30,54.17
Górzno (siedleckie),21.43,51.51
Górzno (toruńskie),19.38,53.12
Górzyca,14.38,52.29
Gózd,21.23,51.23
Grabica,19.32,51.29
Grabowiec,23.33,50.49
Grabowo,22.09,53.28
Grabów,19.01,52.07
Grabów nad Pilicą,21.14,51.44
Grabów nad Prosną,18.07,51.30
Grajewo,22.27,53.39
Granowo,16.32,52.13
Grążawy,19.34,53.15
Grębków,21.55,52.16
Grębocice,16.10,51.36
Gręboszów,20.47,50.15
Grębów,21.53,50.34
Grodków,17.23,50.42
Grodno,23.50,53.41
Grodziczno,19.46,53.25
Grodziec,18.04,52.02
Grodzisk,22.45,52.35
Grodzisk Mazowiecki,20.37,52.06
Grodzisk Wielkopolski,16.22,52.14
Grodzisko Dolne,22.28,50.10
Gromadka,15.46,51.22
Gromnik,20.57,49.50
Gronowo Elbląskie,19.18,54.05
Gródek,23.40,53.06
Gródek nad Dunajcem,20.44,49.45
Grójec,20.52,51.52
Grudusk,20.36,53.04
Grudziądz,18.46,53.29
Grunwald,20.05,53.33
Gruta,18.58,53.27
Grybów,20.57,49.38
Gryfice,15.12,53.54
Gryfino,14.29,53.15
Gryfów Śląski,15.25,51.02
Grzegorzew,18.44,52.12
Grzmiąca,16.26,53.50
Gubin,14.43,51.57
Gzy,20.56,52.45
Haczów,21.54,49.40
Hajnówka,23.35,52.45
Halinów,21.21,52.14
Hanna,23.31,51.43
Hańsk,23.24,51.24
Harasiuki,22.29,50.28
Haźlach,18.37,49.48
Hel,18.48,54.36
Herby,18.53,50.40
Horodło,24.03,50.54
Horyniec,23.22,50.12
Hrubieszów,23.53,50.48
Huszlew,22.50,52.08
Hyżne,22.11,49.55
Igołomia-Wawrzeńczyce,20.18,50.06
Iława,19.34,53.36
Iłowa,15.12,51.30
Iłowo-Osada,20.18,53.10
Iłów,20.02,52.21
Iłża,21.15,51.10
Imielno,20.26,50.35
Inowłódz,20.13,51.32
Inowrocław,18.15,52.48
Ińsko,15.32,53.26
Irządze,19.41,50.38
Istebna,18.54,49.34
Iwaniska,21.16,50.44
Iwanowice,19.59,50.14
Iwierzyce,21.46,50.02
Iwkowa,20.35,49.50
Iwonicz-Zdrój,21.48,49.34
Izbica,23.10,50.54
Izbica Kujawska,18.46,52.25
Izbicko,18.10,50.34
Jabłonka,19.42,49.29
Jabłonna (lubelskie),22.36,51.05
Jabłonna (warszawskie),20.54,52.23
Jabłonna Lacka,22.27,52.29
Jabłonowo,19.04,53.24
Jabłonowo Pomorskie,19.04,53.24
Jabłoń,23.05,51.43
Jadów,21.38,52.29
Jaktorów,20.32,52.05
Jakubów,21.41,52.13
Janikowo,18.06,52.45
Janowice Wielkie,15.55,50.53
Janowiec,21.54,51.19
Janowiec Kościelny,20.31,53.18
Janowiec Wielkopolski,17.29,52.45
Janowo,20.40,53.19
Janów (częstochowskie),19.26,50.43
Janów (białostockie),23.14,53.28
Janów Lubelski,22.25,50.42
Janów Podlaski,23.13,52.12
Jaraczewo,17.18,51.58
Jarczów,23.35,50.26
Jarocin (tarnobrzeskie),22.20,50.34
Jarocin (kaliskie),17.30,51.58
Jarosław,22.42,50.02
Jasienica,18.56,49.49
Jasienica Rosielna,21.57,49.45
Jasieniec,20.56,51.49
Jasień,15.01,51.45
Jasionówka,23.02,53.24
Jasło,21.28,49.44
Jastarnia,18.40,54.42
Jastków,22.27,51.19
Jastrowie,16.49,53.26
Jastrząb,20.57,51.14
Jastrzębia,21.12,51.28
Jastrzębie-Zdrój,18.35,49.57
Jaświły,22.58,53.24
Jawor,16.12,51.04
Jawornik Polski,22.17,49.54
Jaworzno,19.16,50.13
Jaworzyna Śląska,16.26,50.55
Jedlicze,21.38,49.43
Jedlina-Zdrój,16.21,50.43
Jedlińsk,21.02,51.31
Jedlnia-Letnisko,21.19,51.26
Jednorożec,21.03,53.09
Jedwabne,22.18,53.17
Jedwabno,20.44,53.32
Jelcz-Laskowice,17.19,51.01
Jelenia Góra,15.44,50.54
Jeleniewo,22.55,54.13
Jeleśnia,19.19,49.39
Jemielnica,18.23,50.33
Jemielno,16.33,51.32
Jerzmanowa,16.03,51.36
Jerzmanowice-Przeginia,19.45,50.12
Jeziora Wielkie,18.16,52.32
Jeziorany,20.45,53.58
Jeziorzany,22.17,51.36
Jeżewo,18.29,53.31
Jeżowe,22.10,50.23
Jeżów,19.58,51.48
Jeżów Sudecki,15.45,50.56
Jędrzejów,20.18,50.39
Jodłowa,21.19,49.53
Jodłownik,20.14,49.47
Joniec,20.35,52.36
Jonkowo,20.19,53.50
Jordanów,19.50,49.39
Jordanów Śląski,16.52,50.52
Józefów (zamojskie),23.04,50.29
Józefów (lubelskie),21.51,51.02
Józefów (warszawskie),21.14,52.09
Juchnowiec Dolny,23.08,53.01
Jutrosin,17.11,51.38
Kaczory,16.52,53.07
Kadzidło,21.28,53.14
Kalety,18.54,50.34
Kalinowo,22.41,53.53
Kaliska,18.13,53.55
Kalisz,18.06,51.46
Kalisz Pomorski,15.54,53.17
Kalwaria Zebrzydowska,19.40,49.53
Kałuszyn,21.49,52.13
Kamienica,20.21,49.34
Kamienica Polska,19.09,50.41
Kamieniec,16.27,52.10
Kamieniec Ząbkowicki,16.52,50.32
Kamienna Góra,16.02,50.47
Kamiennik,17.09,50.34
Kamień (rzeszowskie),22.09,50.20
Kamień (chełmskie),23.35,51.06
Kamień Koszyrski,24.58,51.38
Kamień Krajeński,17.31,53.32
Kamień Pomorski,14.46,53.58
Kamieńsk,19.30,51.13
Kamionka,22.28,51.29
Kamionka Strumiłowa,24.20,50.07
Kamionka Wielka,20.49,49.35
Kampinos,20.28,52.16
Kańczuga,22.25,49.59
Karczew,21.15,52.04
Karczmiska,22.01,51.14
Kargowa,15.52,52.04
Karlino,15.53,54.02
Karnice,15.03,54.01
Karniewo,20.59,52.50
Karpacz,15.44,50.47
Karsin,17.55,53.54
Kartuzy,18.12,54.20
Katowice,19.00,50.15
Kawęczyn,18.32,51.54
Kazanów,21.28,51.17
Kazimierz Biskupi,18.10,52.19
Kazimierz Dolny,21.58,51.19
Kazimierza Wielka,20.29,50.16
Kaźmierz,16.35,52.30
Kąkolewnica Wschodnia,22.42,51.54
Kąty Wrocławskie,16.46,51.02
Kcynia,17.29,52.59
Kędzierzyn-Koźle,18.12,50.21
Kępice,16.52,54.15
Kępno,17.59,51.17
Kęsowo,17.34,53.34
Kętrzyn,21.23,54.05
Kęty,19.13,49.53
Kielce,20.37,50.53
Kiełczygłów,18.59,51.14
Kiernozia,19.52,52.16
Kietrz,18.01,50.05
Kije,20.34,50.36
Kijewo Królewskie,18.27,53.16
Kikół,19.07,52.55
Kisielice,19.15,53.36
Kiszkowo,17.16,52.35
Kiwerce,25.27,50.50
Kiwity,20.46,54.06
Kleczew,18.11,52.22
Klembów,21.20,52.24
Kleszczele,23.20,52.35
Kleszczewo,17.10,52.20
Kleszczów,19.18,51.13
Klimontów,21.27,50.40
Klonowa,18.26,51.25
Kluczbork,18.13,50.58
Klucze,19.34,50.20
Kluczewsko,19.55,50.56
Kluki,19.14,51.21
Klukowo,22.31,52.47
Klwów,20.38,51.32
Kłaj,20.18,50.00
Kłecko,17.26,52.37
Kłobuck,18.56,50.55
Kłoczew,21.58,51.44
Kłodawa (konińskie),18.55,52.15
Kłodawa (gorzowskie),15.12,52.47
Kłodzko,16.39,50.27
Kłomnice,19.22,50.56
Knurów,18.41,50.13
Knyszyn,22.55,53.18
Kobiele Wielkie,19.37,51.02
Kobierzyce,16.56,50.58
Kobryń,24.21,52.13
Kobyla Góra,17.51,51.23
Kobylanka,14.51,53.21
Kobylin,17.14,51.42
Kobylin-Borzymy,22.41,53.06
Kobylnica,16.59,54.27
Kobyłka,21.11,52.21
Kochanowice,18.45,50.43
Kocierzew Południowy,20.01,52.14
Kock,22.27,51.39
Kocmyrzów-Luborzyca,20.06,50.08
Koczała,17.04,53.54
Kodeń,22.37,51.55
Kodrąb,19.38,51.06
Kolbudy Górne,18.27,54.16
Kolbuszowa,21.47,50.14
Kolno (łomżyńskie),21.56,53.24
Kolno (olsztyńskie),21.00,53.59
Kolonowskie,18.23,50.39
