city,longitude,latitude
Rabka,19.57,49.37
Rachanie,23.33,50.33
Raciąż,20.07,52.47
Raciążek,18.48,52.51
Racibórz,18.14,50.05
Raciechowice,20.08,49.50
Racławice-Pałecznica,20.14,50.20
Raczki,22.47,53.59
Radecznica,22.50,50.46
Radgoszcz,21.07,50.13
Radków (częstochowskie),19.59,50.43
Radków (wałbrzyskie),16.24,50.30
Radłów (częstochowskie),18.32,50.56
Radłów (tarnowskie),20.51,50.05
Radom,21.10,51.24
Radomin,19.12,53.05
Radomsko,19.27,51.04
Radomyśl,21.57,50.41
Radomyśl Wielki,21.17,50.12
Radoszyce,20.16,51.04
Radowo Małe,15.27,53.40
Radymno,22.50,49.57
Radwanice,15.52,51.34
Radzanowo,19.53,52.35
Radzanów,20.05,52.57
Radziechowy-Wieprz,19.10,49.38
Radziejowice,20.33,52.01
Radziejów,18.31,52.38
Radziemnice,20.14,50.15
Radziłów,22.25,53.25
Radziwiłłówka,23.02,52.22
Radzymin,21.11,52.25
Radzyń Chełmiński,18.56,53.23
Radzyń Podlaski,22.38,51.48
Rajcza,19.06,49.30
Rajgród,22.42,53.44
Rakoniewice,16.16,52.09
Raków,21.02,50.41
Rakszawa,22.14,50.12
Raniżów,21.59,50.16
Raszków,17.44,51.43
Raszyn,20.55,52.08
Rataje,19.26,52.26
Rawa Mazowiecka,20.16,51.46
Rawa Ruska,23.37,50.14
Rawicz,16.52,51.36
Rąbino,15.56,53.52
Recz,15.33,53.15
Reda,18.20,54.37
Regimin,20.34,52.57
Rejowiec,23.18,51.06
Rejowiec Fabryczny,23.16,51.07
Reńska Wieś,18.09,50.19
Repki,22.24,52.23
Resko,15.24,53.46
Reszel,21.09,54.03
Rewal,15.00,54.04
Ręczno,19.51,51.11
Rędziny,19.13,50.52
Rogowo (bydgoskie),17.39,52.43
Rogowo (włocławskie),19.23,52.58
Rogoźno,16.59,52.45
Rogów,19.53,51.49
Rogóźno,18.56,53.33
Rohatyń,24.37,49.25
Rojewo,18.17,52.54
Rokiciny,19.47,51.40
Rokietnica (poznańskie),16.45,52.31
Rokietnica (przemyskie),22.39,49.54
Rokitno,23.18,52.08
Ropczyce,21.37,50.03
Rossosz,23.09,51.52
Rościszewo,19.46,52.54
Rozdrażew,17.31,51.46
Rozogi,21.22,53.29
Rozprza,19.38,51.18
Roźwienica,22.36,49.57
Równe,26.15,50.37
Różan,21.24,52.53
Ruciane-Nida,21.34,53.39
Ruda-Huta,23.36,51.14
Ruda Maleniecka,20.13,51.19
Ruda Śląska,18.52,50.16
Rudna,16.16,51.31
Rudnik (katowickie),18.12,50.08
Rudnik (tarnobrzeskie),22.16,50.27
Rudnik (zamojskie),22.59,50.53
Rudniki,18.36,51.02
Rudziniec,18.25,50.22
Ruja,16.24,51.11
Rumia,18.24,54.34
Rusiec,18.59,51.19
Rusinów,20.35,51.26
Rutka-Tartak,22.58,54.19
Rutki,22.26,53.06
Rybczewice,22.51,51.02
Rybnik,18.33,50.05
Rybno,19.56,53.23
Rychliki,19.31,53.59
Rychtal,17.51,51.09
Rychwał,18.10,52.04
Ryczywół,16.50,52.48
Rydzyna,16.40,51.48
Ryglice,21.08,49.53
Ryjewo,18.57,53.51
Ryki,21.57,51.37
Rymanów,21.53,49.34
Rymań,15.32,53.56
Ryn,21.32,53.56
Rypin,19.24,53.04
Rytwiany,21.12,50.32
Rząśnia,19.03,51.14
Rząśnik,21.21,52.43
Rzeczenica,17.06,53.46
Rzeczniów,21.27,51.08
Rzeczyca,20.18,51.36
Rzekuń,21.38,53.03
Rzepiennik Strzyżewski,21.02,49.48
Rzepin,14.49,52.21
Rzeszów,22.01,50.03
Rzewnie,21.21,52.51
Rzezawa,20.31,50.00
Rzgów (konińskie),18.03,52.09
Rzgów (łódzkie),19.30,51.40
Sabnie,22.18,52.30
Sadki,17.27,53.10
Sadkowice,20.31,51.44
Sadlinki,18.53,53.40
Sadowie,21.23,50.51
Sadowne,21.51,52.38
Sambor,23.11,49.32
Samborzec,21.39,50.39
Sandomierz,21.45,50.41
Sanniki,19.52,52.20
Sanok,22.13,49.33
Santok,15.24,52.44
Sarnaki,22.53,52.19
Sarny,26.36,51.21
Sawin,23.27,51.16
Secemin,19.50,50.46
Sejny,23.21,54.06
Serniki,22.40,51.26
Serock,21.04,52.31
Serokomla,22.19,51.42
Sędziejowice,19.02,51.31
Sędziszów,20.04,50.35
Sędziszów Małopolski,21.42,50.04
Sękowa,21.12,49.37
Sępopol,21.01,54.16
Sępólno Krajeńskie,17.32,53.27
Sianów,16.18,54.13
Sicienko,17.47,53.13
Sidra,23.27,53.33
Sieciechów,21.45,51.33
Siedlce,22.17,52.11
Siedlec,16.00,52.03
Siedlisko,15.48,51.46
Siedliszcze,23.10,51.12
Siekierczyn,15.12,51.08
Siemianowice Śląskie,19.02,50.18
Siemiatycze,22.52,52.26
Siemiątkowo Koziebródz.,20.01,52.53
Siemień,22.36,51.38
Siemkowice,18.54,51.12
Siemyśl,15.32,54.02
Sieniawa,22.37,50.11
Siennica,21.37,52.06
Siennica Różana,23.20,51.00
Sienno,21.29,51.06
Siepraw,19.58,49.55
Sieradz,18.44,51.36
Sierakowice,17.53,54.22
Sieraków,16.05,52.39
Sieroszewice,17.59,51.38
Sierpc,19.40,52.52
Siewierz,19.14,50.28
Silnowo,16.29,53.37
Sitkówka-Nowiny,20.34,50.49
Sitno,23.23,50.45
Skalbmierz,20.24,50.20
Skała,19.51,50.14
Skarszewy,18.27,54.05
Skaryszew,21.15,51.19
Skarżysko-Kamienna,20.51,51.07
Skawina,19.49,49.59
Skąpe,15.27,52.09
Skępe,19.21,52.52
Skierbieszów,23.22,50.51
Skierniewice,20.08,51.58
Skoczów,18.43,49.48
Skoki,17.09,52.40
Skołyszyn,21.21,49.45
Skomlin,18.23,51.10
Skoroszyce,17.22,50.35
Skórcz,18.32,53.48
Skórzec,22.08,52.07
Skrwilno,19.37,53.01
Skrzeszew,20.53,52.28
Skrzyszów,21.06,49.59
Skulsk,18.20,52.29
Skwierzyna,15.29,52.36
Słaboszów,20.17,50.23
Sława,16.04,51.53
Sławatycze,23.34,51.46
Sławków,19.20,50.17
Sławno (piotrkowskie),20.09,51.23
Sławno (słupskie),16.39,54.22
Sławoborze,15.42,53.53
Słomniki,20.05,50.15
Słonim,25.19,53.06
Słońsk,14.48,52.34
Słubice (gorzowskie),14.34,52.21
Słubice (płockie),19.56,52.23
Słupca,17.53,52.17
Słupia (kieleckie),19.58,50.36
Słupia (skierniewickie),19.58,51.51
Słupsk,17.02,54.28
Smętowo Graniczne,18.41,53.46
Smołdzino,17.13,54.40
Sobienie-Jeziory,21.19,51.56
Sobków,20.27,50.42
Sobolew,21.41,51.44
Sobótka,16.45,50.54
Sochaczew,20.13,52.14
Sochocin,20.28,52.42
Sokolniki,18.21,51.18
Sokołów Małopolski,22.07,50.14
Sokołów Podlaski,22.16,52.24
Sokoły,22.42,52.59
Sokółka,23.30,53.24
Solec Kujawski,18.14,53.05
Solec nad Wisłą,21.47,51.08
Solec-Zdrój,20.53,50.22
Solina,22.27,49.24
Somianka,21.17,52.33
Somonino,18.12,54.17
Sompolno,18.30,52.23
Sońsk,20.43,52.47
Sopot,18.33,54.26
Sorkwity,21.09,53.51
Sosnowica,23.05,51.31
Sosnowiec,19.08,50.17
Sosnówka,23.20,51.46
Sośnicowice,18.32,50.16
Sośnie,17.37,51.28
Sośno,17.41,53.24
Spiczyn,22.46,51.21
Spytkowice,19.30,50.00
Srokowo,21.31,54.13
Stalowa Wola,22.05,50.34
Stanin,22.12,51.53
Stanisławów (siedleckie),21.33,52.18
Stanisławów,24.43,48.55
Stara Biała,19.38,52.37
Stara Błotnica,20.59,51.33
Stara Dąbrowa,15.08,53.25
Stara Kamienica,15.34,50.55
Stara Kiszewa,18.10,53.59
Stara Kornica,22.57,52.11
Starachowice,21.04,51.02
Stare Babice,20.51,52.15
Stare Bogaczowice,16.11,50.52
Stare Czarnowo,14.46,53.17
Stare Juchy,22.11,53.56
Stare Kurowo,15.40,52.52
Stare Miasto,18.13,52.11
Stare Pole,19.12,54.03
Stargard Szczeciński,15.02,53.20
Starogard Gdański,18.32,53.58
Staroźreby,19.58,52.38
Stary Brus,23.18,51.29
Stary Dzierzgoń,19.25,53.51
Stary Dzikowiec,21.51,50.16
Staru Dzików,22.56,50.14
Stary Lubotyń,21.56,52.57
Stary Sącz,20.38,49.34
Stary Targ,19.10,53.56
Stary Zamość,23.11,50.49
Staszów,21.10,50.34
Stawiguda,20.24,53.39
Stawiski,22.10,53.23
Stawiszyn,18.06,51.55
Stąporków,20.33,51.09
Stegna,19.06,54.20
Stepnica,14.37,53.39
Sterdyń,22.17,52.34
Stęszew,16.41,52.17
Stężyca,17.57,54.13
Stoczek,21.54,52.33
Stoczek Łukowski,21.58,51.58
Stolno,18.30,53.19
Stopnica,20.56,50.26
Stoszowice,16.38,50.36
Strachówka,21.38,52.25
Strawczyn,20.25,50.57
Stromiec,21.06,51.39
Stronie Śląskie,16.52,50.18
Strumień,18.46,49.55
Stryj,23.51,49.16
Stryków,19.35,51.54
Stryszawa,19.32,49.43
Stryszów,19.37,49.50
Strzałkowo,17.49,52.19
Strzegom,16.21,50.58
Strzegowo-Osada,20.17,52.54
Strzelce,19.24,52.19
Strzelce Krajeńskie,15.31,52.53
Strzelce Opolskie,18.18,50.31
Strzelce Wielkie,19.08,51.08
Strzeleczki,17.51,50.28
Strzelin,17.04,50.47
Strzelno,18.10,52.38
Strzyżewice,22.27,51.03
Strzyżów,21.47,49.52
Stubno,22.58,49.53
Studzienice,17.35,54.06
Stupsk,20.27,53.01
Subkowy,18.46,54.01
Sucha Beskidzka,19.29,49.44
Suchań,15.19,53.17
Suchedniów,20.50,51.03
Suchowola,23.06,53.35
Suchożebry,22.16,52.16
Suchy Las,16.53,52.28
Sulechów,15.37,52.05
Sulejów,19.52,51.22
Sulejówek,21.16,52.13
Sulęcin,15.07,52.27
Sulęczyno,17.46,54.14
Sulików,15.04,51.04
Sulmierzyce,19.12,51.11
Sułkowice,19.48,49.52
Sułoszowa,19.44,50.17
Sułów,22.58,50.46
Supraśl,23.20,53.13
Suraż,22.57,52.57
Susiec,23.12,50.25
Susz,19.21,53.43
Suszec,18.48,50.02
Suwałki,22.56,54.06
Swarzędz,17.04,52.24
Syców,17.43,51.18
Sypniewo,21.18,53.01
Szadek,18.59,51.42
Szamocin,17.07,53.02
Szamotuły,16.34,52.36
Szastarka,22.19,50.52
Szczaniec,15.41,52.16
Szczawin Kościelny,19.37,52.23
Szczawnica,20.28,49.26
Szczawno-Zdrój,16.16,50.49
Szczebrzeszyn,22.59,50.42
Szczecin,14.34,53.26
Szczecinek,16.41,53.43
Szczekociny,19.48,50.38
Szczerców,19.07,51.20
Szczucin,21.04,50.19
Szczuczyn,22.18,53.34
Szczurowa,50.08,20.38
Szczutowo,19.34,52.56
Szczyrk,19.02,49.43
Szczytna,16.26,50.25
Szczytniki,18.20,51.41
Szczytno,20.59,53.34
Szelków,21.13,52.50
Szemud,18.14,54.29
Szepietowo,22.33,52.52
Szerzyny,21.14,49.49
Szklarska Poręba,15.32,50.50
Szlichtyngowa,16.15,51.43
Szprotawa,15.32,51.34
Szreńsk,20.07,53.01
Sztabin,23.07,53.41
Sztum,19.02,53.56
Sztutowo,19.10,54.20
Szubin,17.45,53.01
Szudziałowo,23.40,53.17
Szumowo,22.06,52.56
Szydłowiec,20.51,51.14
Szydłowo,16.36,53.10
Szydłów,21.00,50.36
Szypliszki,23.04,54.15
Ścinawa,16.26,51.25
Ślesin,18.18,52.22
Śliwice,18.10,53.43
Śmigiel,16.32,52.01
Śniadowo,21.59,53.02
Śrem,17.01,52.05
Środa Śląska,16.35,51.09
Środa Wielkopolska,17.16,52.14
Świątki,20.15,53.55
Świątniki Górne,19.58,49.56
Świdnica (wałbrzyskie),16.29,50.50
Świdnica (zielonogór.),15.25,51.53
Świdnik,22.41,51.12
Świdwin,15.47,53.47
Świebodzice,16.20,50.52
Świebodzin,15.32,52.15
Świecie,18.26,53.25
Świecie nad Osą,19.06,53.27
Świedziebnia,19.33,53.09
Świeradów-Zdrój,15.21,50.54
Świercze,20.46,52.41
Świerczów,17.46,50.58
Świerklaniec,18.56,50.26
Świerklany,18.36,50.02
Świerzawa,15.54,51.01
Świerzno,14.57,53.57
Świeszyno,16.10,54.07
Święciechowa,16.31,51.52
Święta Katarzyna,17.07,51.02
Świętajno (olsztyńskie),21.13,53.34
Świętajno (suwalskie),22.20,54.00
Świętochłowice,18.55,50.19
Świlcza,21.55,50.05
Świnice Warckie,18.56,52.02
Świnna,19.15,49.40
Świnoujście,14.15,53.55
Tarczyn,20.50,51.59
Tarłów,21.43,51.00
Tarnawatka,23.24,50.32
Tarnobrzeg,21.41,50.35
Tarnogród,22.45,50.21
Tarnopol,25.36,49.34
Tarnowiec,21.36,49.43
Tarnowo Podgórne,16.40,52.28
Tarnowskie Góry,18.52,50.27
Tarnów,21.00,50.02
Tarnów Opolski,18.05,50.35
Tarnówka,16.50,53.21
Tatrzańska,19.57,49.18
Tąpkowice,19.02,50.27
Tczew,18.43,54.06
Tczów,21.27,51.20
Telatyn,23.50,50.32
Teresin,20.25,52.12
Terespol,23.37,52.05
Tereszpol,22.53,50.34
Tłuchowo,19.28,52.45
Tłuszcz,21.27,52.26
Tokarnia,19.53,49.44
Tolkmicko,19.31,54.19
Tomaszów Lubelski,23.25,50.27
Tomaszów Mazowiecki,20.02,51.32
Tomice,19.29,49.54
Topólka,18.43,52.31
Toruń,18.37,53.02
Torzym,15.04,52.19
Toszek,18.31,50.28
Trawniki,23.01,51.08
Trąbki Wielkie,18.32,54.10
Trojanów,21.50,51.42
Troszyn,21.44,53.02
Tryńcza,22.33,50.10
Trzcianka,16.28,53.03
Trzcianne,22.41,53.21
Trzciel,15.52,52.22
Trzcinica,18.01,51.10
Trzcińsko-Zdrój,14.35,52.58
Trzebiatów,15.15,54.04
Trzebiechów,15.44,52.02
Trzebiel,14.49,51.38
Trzebielino,17.06,54.12
Trzebieszów,22.33,51.59
Trzebinia,19.28,50.10
Trzebnica,17.04,51.18
Trzebownisko,22.02,50.05
Trzemeszno,17.49,52.34
Trzeszczany,23.44,50.49
Trzyciąż,19.46,50.19
Trzydnik Duży,22.09,50.51
Tuchola,17.51,53.36
Tuchomie,17.20,54.07
Tuchów,21.03,49.54
Tuczępy,20.59,50.31
Tuczna,23.26,51.53
Tuczno,16.08,53.11
Tuliszków,18.18,52.04
Tułowice,20.17,52.22
Tuplice,14.49,51.40
Turawa,18.05,50.44
Turek,18.30,52.01
Turobin,22.45,50.49
Turośl,21.44,53.23
Turośń Kościelna,23.03,53.01
Tuszów Narodowy,21.28,50.22
Tuszyn,19.32,51.36
Twardogóra,17.28,51.22
Tworóg,18.43,50.33
Tychowo,16.15,53.55
Tychy,18.59,50.08
Tychy Paprocany,19.00,50.06
Tyczyn,22.02,49.58
Tykocin,22.46,53.12
Tymbark,20.19,49.44
Tyrawa Wołoska,22.22,49.34
Tyszowice,23.41,50.37
Uchanie,23.39,50.55
Udanin,16.27,51.02
Ujazd (opolskie),18.21,50.24
Ujazd (piotrkowskie),19.55,51.36
Ujsoły,19.09,49.29
Ujście,16.44,53.04
Ulan-Majorat,22.29,51.48
Ulanów,22.17,50.30
Ulhówek,23.48,50.27
Ułęż,22.07,51.36
Uniejów,18.48,51.58
Unisław,18.23,53.13
Urszulin,23.12,51.24
Urzędów,22.09,51.00
Ustka,16.51,54.35
Ustronie Morskie,15.45,54.13
Ustroń,18.49,49.43
Ustrzyki Dolne,22.36,49.26
Uście Gorlickie,21.08,49.31
Uścimów,22.56,51.28
Wadowice,19.30,49.53
Wadowice Górne,21.18,50.16
Walce,18.00,50.22
Walim,16.27,50.42
Wałbrzych,16.17,50.47
Wałcz,16.27,53.16
Wapno,17.28,52.54
Warka,21.12,51.47
Warlubie,18.38,53.35
Warnice,14.59,53.15
Warszawa,21.02,52.12
Warszawa Mokotów,21.03,52.09
Warszawa Ochota,20.59,52.12
Warszawa Praga Południe,21.10,52.12
Warszawa Praga Północ,21.03,52.17
Warszawa Śródmieście,21.01,52.13
Warszawa Wola,20.56,52.14
Warszawa Żoliborz,20.56,52.16
Warta,18.38,51.42
Warta Bolesławiecka,15.39,51.14
Wartkowice,19.01,51.58
Wasilków,23.12,53.12
Waśniów,20.13,50.54
Wąbrzeźno,18.57,53.17
Wąchock,21.01,51.05
Wądroże Wielkie,16.20,51.07
Wągrowiec,17.12,52.48
Wąpielsk,19.17,53.08
Wąsewo,21.41,52.53
Wąsosz,16.41,51.34
Wąwolnica,22.09,51.17
Wejherowo,18.15,54.36
Werbkowice,23.46,50.45
Węgierska Górka,19.07,49.37
Węgliniec,15.13,51.17
Węgorzewo,21.45,54.13
Węgorzyno,15.33,53.32
Węgrów,22.01,52.24
Wiązowna,21.18,52.11
Wiązownica,22.42,50.05
Wiązów,17.17,50.49
Wicko,17.37,54.40
Widawa,18.57,51.26
Widuchowa,14.22,53.07
Wieczfnia Kościelna,20.29,53.12
Wielbark,20.56,53.24
Wieleń,16.10,52.54
Wielgie,19.16,52.45
Wielgomłyny,19.46,51.01
Wielichowo,16.21,52.07
Wieliczka,20.03,49.59
Wieliczki,22.34,53.59
Wielka Nieszawka,18.29,53.00
Wielka Wieś,19.51,50.10
Wielke Oczy,23.10,50.01
Wielopole Skrzyńskie,21.37,49.57
Wielowieś,18.37,50.31
Wieluń,18.34,51.13
Wieniawa,20.48,51.22
Wieprz,19.22,49.54
Wieruszów,18.10,51.17
Wierzbica (chełmskie),23.19,51.16
Wierzbica (radomskie),21.05,51.15
Wierzbinek,18.31,52.26
Wierzbno,21.51,52.18
Wierzchlas,18.40,51.12
Wierzchosławice,20.52,50.02
Wierzchowo,16.06,53.27
Wietrzychowice,20.46,50.12
Więcbork,17.29,53.21
Wijewo,16.11,51.55
Wilamowice,19.09,49.55
Wilczęta,19.53,54.10
Wilczyce,21.40,50.45
Wilczyn,18.10,52.29
Wilejka,26.53,54.30
Wilga,21.23,51.52
Wilkołaz,22.21,51.01
Wilkowice,19.06,49.46
Wilków (lubelskie),21.53,51.16
Wilków (opolskie),17.39,51.06
Wilno,25.19,54.41
Winnica,20.57,52.39
Wińsko,16.37,51.23
Wiskitki,20.23,52.05
Wisła,18.52,49.39
Wisznia Mała,17.03,51.15
Wisznice,23.13,51.48
Wiślica,20.41,50.21
Wiśniew,22.17,52.05
Wiśniewo,20.21,53.04
Wiśniowa (krakowskie),20.06,49.48
Wiśniowa (rzeszowskie),21.39,49.52
Witkowo,17.47,52.26
Witnica,14.53,52.41
Witonia,19.18,52.08
Wizna,22.23,53.13
Wiżajny,22.52,54.22
Wleń,15.41,51.01
Władysławowo,18.24,54.48
Władysławów,18.29,52.06
Włocławek,19.03,52.39
Włodawa,23.33,51.33
Włodowice,19.27,50.33
Włodzimierz Wołyński,24.20,50.51
Włoszakowice,16.22,51.56
Włoszczowa,19.58,50.51
Wodynie,21.57,52.02
Wodzierady,19.09,51.43
Wodzisław,20.11,50.31
Wodzisław Śląski,18.28,50.01
Wohyń,22.47,51.46
Wojaszówka,21.41,49.47
Wojciechowice,21.35,50.51
Wojciechów,22.15,51.14
Wojcieszków,22.19,51.46
Wojcieszów,15.55,50.58
Wojnicz,20.50,49.58
Wojsławice,23.33,50.55
Wola Krzysztoporska,19.35,51.21
Wola Mysłowska,21.57,51.51
Wola Uhruska,23.38,51.19
Wolanów,20.59,51.23
Wolbórz,19.50,51.31
Wolbrom,19.46,50.23
Wolin,14.31,53.50
Wolsztyn,16.07,52.07
Wołczyn,18.03,51.01
Wołkowysk,24.28,53.10
Wołomin,21.14,52.21
Wołów,16.39,51.21
Woźniki,19.04,50.35
Wólka,22.39,51.16
Wręczyca Wielka,18.55,50.50
Wrocław,17.02,51.07
Wrocław Fabryczna,16.57,51.08
Wrocław Krzyki,17.04,51.08
Wrocław Psie Pole,17.07,51.08
Wrocław Stare Miasto,17.03,51.06
Wrocław Śródmieście,17.03,51.07
Wronki,16.22,52.43
Wróblew,18.37,51.36
Września,17.35,52.20
Wschowa,16.18,51.48
Wydminy,22.02,53.59
Wymiarki,15.05,51.31
Wyryki,23.23,51.33
Wyrzysk,17.16,53.09
Wysoka,17.04,53.11
Wysokie,22.40,50.45
Wysokie Mazowieckie,22.30,52.55
Wyszki,22.59,52.51
Wyszków,21.27,52.36
Wyszogród,20.12,52.23
Wyśmierzyce,20.48,51.38
Zabierzów,19.48,50.07
Zabłudów,23.21,53.01
Zabór,15.43,51.57
Zabrodzie,21.26,52.30
Zabrze,18.47,50.18
Zadzim,18.51,51.46
Zagnańsk,20.41,50.58
Zagórów,17.54,52.10
Zagórz,22.16,49.31
Zagrodno,15.52,51.12
Zakliczyn,20.49,49.51
Zaklików,22.07,50.46
Zakopane,19.57,49.18
Zakroczym,20.37,52.26
Zakrzew (radomskie),21.00,51.27
Zakrzew (zamojskie),22.36,50.54
Zakrzewo (pilskie),17.08,53.25
Zakrzewo (włocławskie),18.37,52.45
Zakrzówek,22.22,50.56
Zalesie,23.23,52.02
Zaleszany,21.54,50.39
Zalewo,19.36,53.51
Załuski,20.31,52.32
Zambrów,22.15,52.59
Zamość,23.16,50.43
Zaniemyśl,17.10,52.10
Zapolice,18.53,51.32
Zaręby Kościelne,22.08,52.46
Zarszyn,49.35,22.01
Zarzecze,22.32,49.59
Zator,19.26,49.59
Zatory,21.11,52.36
Zawady,22.39,53.09
Zawadzkie,18.29,50.37
Zawichost,21.51,50.49
Zawidów,15.04,51.01
Zawidz,19.52,52.49
Zawiercie,19.25,50.30
Zawoja,19.34,49.40
Zawonia,17.12,51.19
Ząbki,21.07,52.17
Ząbkowice Śląskie,16.49,50.35
Zbąszynek,15.49,52.15
Zbąszyń,15.55,52.15
Zbiczno,19.23,53.20
Zblewo,18.20,53.56
Zbójna,21.47,53.15
Zbójno,19.09,53.00
Zbrosławice,18.45,50.25
Zbuczyn Poduchowny,22.06,52.06
Zduny (kaliskie),17.22,51.38
Zduny (skierniewickie),19.48,52.09
Zduńska Wola,18.56,51.36
Zdzieszowice,18.07,50.25
Zebrzydowice,18.37,49.53
Zelów,19.13,51.28
Zembrzyce,19.36,49.46
Zębowice,18.21,50.46
Zgierz,19.25,51.52
Zgorzelec,15.01,51.09
Zielona Góra,15.30,51.56
Zielonka,21.09,52.18
Zielonki,19.55,50.07
Ziębice,17.03,50.37
Zławieś Wielka,18.20,53.06
Złocieniec,16.00,53.32
Złoczew,18.37,51.25
Złoczów,24.52,49.47
Złota,20.36,50.23
Złotniki Kujawskie,18.09,52.54
Złotoryja,15.55,51.08
Złotów,17.02,53.22
Złoty Stok,16.52,50.27
Zwierzyn,15.33,52.49
Zwierzyniec,22.58,50.37
Zwoleń,21.36,51.22
Żabia Wola,20.41,52.02
Żabno,20.53,50.07
Żagań,15.19,51.37
Żarki,19.22,50.38
Żarnowiec,19.52,50.29
Żarnów,20.11,51.15
Żarów,16.30,50.57
Żary,15.08,51.38
Żelechów,21.54,51.49
Żegocina,20.25,49.48
Żelazków,18.11,51.51
Żelechlinek,20.02,51.43
Żelechów,21.54,51.49
Żerków,17.34,52.04
Żmigród,16.54,51.28
Żmudź,23.40,51.01
Żnin,17.43,52.51
Żołynia,22.18,50.10
Żory,18.42,50.03
Żółkiewka,22.50,50.54
Żórawina,17.03,50.59
Żukowice,15.59,51.40
Żukowo,18.21,54.21
Żurawica,22.47,49.49
Żuromin,19.54,53.04
Żychlin,19.37,52.15
Żyraków,21.25,50.06
Żyrardów,20.26,52.03
Żyrzyn,22.06,51.30
Żytno,19.37,50.56
Żywiec,19.12,49.42
